Name,Web,Facebook,Twitter,Instagram,Bandcamp,About,Bingley Artist,BMT Member,LastUpdated,Image
Halifax Gilbert and Sullivan Society,https://www.halifaxgands.org.uk/,https://www.facebook.com/groups/1402545766717575/,,,,"The Society formed in 1968 and we gave our first fully staged performance 3 years later. We perform our annual show at Halifax Playhouse, usually at the beginning of November.",no,no,2023-06-07,
Hall Royd Band,https://www.hallroydband.org.uk/,,,,,,no,no,2023-03-13,
Hayley Hales,,,,,,Vocalist,,,2023-09-28,
Hazjak,https://www.hazjak.com/,https://www.facebook.com/hazjak,,,,"Americana, Folk, Alt country, Roots, Acoustic",no,no,2023-06-30,
Herr Jen’s Band.,,,,,,,no,no,2023-03-13,
Izak Wilkinson,,https://www.facebook.com/IzakWilkinson/?locale=en_GB,,,,"Acoustic performer playing well known, well loved songs with something for everyone!",,,,
Jack O'Malley,,https://www.facebook.com/Jackomalleymusic,,,,,no,no,2023-09-08,
Jackals,,https://www.facebook.com/profile.php?id=100075618526834,,,,,no,no,2023-02-23,
Jagged Edge,,,,,,,,,2024-01-30,
Jake Keating,http://www.jakekeatingmusic.com/,http://www.facebook.com/JakeKeatingMusic,https://twitter.com/JKeatingMusic,https://www.instagram.com/jakekeatingmusic,,"Yorkshire based Singer/Songwriter, Entertainer and occasional street performer.",no,no,2023-05-10,
Joe Drury,,,,,,Joe is a singer songwriter & guitarist who sounds like Nick Drake fused with James Taylor. Joe is from a local musical family and his songs and voice are spell binding.,no,no,2023-09-01,
John Drury,https://johndrury.bandcamp.com/album/come-up-to-london,,,,,,no,no,2023-02-23,
Johnny Martell,https://stevemartinentertainments.com/entertainers/johnny-martell/,,,,,International TV & multi award winning vocal comedy entertainer,,no,2023-06-23,
Julian Socha,https://soundcloud.com/julian-socha,https://www.facebook.com/juliansochamusic/,,,,"Guitarist Singer/Songwriter from England, Solo performer also works in Duo's and Bands, Loves Blues,Rock n Roll,Bluegrass and Jazz.",no,no,2023-09-06,
Kitty LaMare,https://www.kittylamare.com/,https://www.facebook.com/VintageLaMare,,,,Kitty LaMare provides quality vintage entertainment with a warmth and personality that is impossible to resist.,no,no,2023-04-27,
Last Orders,https://lastordersmusic.wordpress.com/,https://www.facebook.com/lastordersrocknroll,,,,"Last Orders are a five piece Yorkshire band who have been playing Rock n Roll music in local pubs, bars and festivals for over seventeen years now.",not known,no,2023-02-23,
Laurel Canyon Union,,https://www.facebook.com/LaurelCanyonUnion,,,,70's West Coast Counter-Culture Americana band,,no,2023-05-23,
Liam Jarvis & The Low River Band,,https://www.facebook.com/LiamJarvisMusic/,,,,Bradford Musician,no,no,2023-07-06,
Liam Sullivan,https://linktr.ee/LiamSullivanMusic,https://www.facebook.com/liamsullivanmusic,https://twitter.com/SullivanMusic,https://www.instagram.com/liam.sullivan.music,,"Journeyman Songwriter from Leeds, UK",,no,2023-05-23,
Liam Sullivan,,https://www.facebook.com/liamsullivanmusic,,,,"Liam has been writing, recording and performing music for well over a decad",no,no,2023-09-08,
Long Shadow Family,,https://www.facebook.com/LongShadowFamily/,,,,A top rocking band,,,2024-01-30,
Luke Anthony D'Apolito,,https://www.facebook.com/luke.dapolito,,,,,no,no,2023-06-30,
Mark Ostyn,,,,,,,yes,no,2023-02-23,
Martin Heaton,,https://www.facebook.com/martin.heaton.526,,,,Martin Heaton is an acclaimed award winning Singer Songwriter of contemporary folk rock & guitar.,no,no,2023-09-01,
